studytime,failures,absences,G1,G2,percentage,risk_label
2,0,6,5,6,30.0,0
2,0,4,5,5,30.0,0
2,3,10,7,8,50.0,1
3,0,2,15,14,75.0,2
2,0,4,6,10,50.0,1
2,0,10,15,15,75.0,2
2,0,0,12,12,55.00000000000001,1
2,0,6,6,5,30.0,0
2,0,0,16,18,95.0,2
2,0,0,14,15,75.0,2
2,0,0,10,8,45.0,1
3,0,4,10,12,60.0,1
1,0,2,14,14,70.0,2
2,0,2,10,10,55.00000000000001,1
3,0,0,14,16,80.0,2
1,0,4,14,14,70.0,2
3,0,6,13,14,70.0,2
2,0,4,8,10,50.0,1
1,3,16,6,5,25.0,0
1,0,4,8,10,50.0,1
2,0,0,13,14,75.0,2
1,0,0,12,15,75.0,2
2,0,2,15,15,80.0,2
2,0,0,13,13,60.0,1
3,0,2,10,9,40.0,1
1,2,14,6,9,40.0,1
1,0,2,12,12,55.00000000000001,1
1,0,4,15,16,75.0,2
2,0,4,11,11,55.00000000000001,1
2,0,16,10,12,55.00000000000001,1
2,0,0,9,11,60.0,1
2,0,0,17,16,85.0,2
2,0,0,17,16,80.0,2
2,0,0,8,10,60.0,1
1,0,0,12,14,75.0,2
1,0,0,8,7,30.0,0
3,0,2,15,16,90.0,2
3,0,7,15,16,75.0,2
3,0,2,12,12,55.00000000000001,1
1,0,8,14,13,65.0,1
2,1,25,7,10,55.00000000000001,1
1,0,8,12,12,60.0,1
2,0,2,19,18,90.0,2
1,0,0,8,8,55.00000000000001,1
2,1,14,10,10,45.0,1
2,0,8,8,8,30.0,0
2,0,12,11,12,55.00000000000001,1
4,0,4,19,19,100.0,2
2,0,2,15,15,70.0,2
2,1,2,7,7,35.0,0
2,0,2,12,13,65.0,1
2,0,2,11,13,65.0,1
1,1,6,11,11,50.0,1
1,0,0,8,10,55.00000000000001,1
1,0,6,10,13,65.0,1
2,0,8,8,9,50.0,1
2,0,0,14,15,75.0,2
2,0,4,14,15,75.0,2
2,0,2,9,10,45.0,1
2,0,2,15,16,80.0,2
2,0,6,10,11,55.00000000000001,1
1,0,6,10,8,55.00000000000001,1
2,0,4,8,10,45.0,1
3,0,2,10,9,45.0,1
2,0,0,10,10,50.0,1
2,0,2,16,15,75.0,2
4,0,4,13,13,60.0,1
4,0,4,7,7,30.0,0
2,0,2,8,9,40.0,1
4,0,12,16,16,80.0,2
4,0,0,13,15,75.0,2
4,0,0,10,10,50.0,1
2,2,2,8,6,25.0,0
1,0,2,12,12,70.0,2
2,0,54,11,12,55.00000000000001,1
2,0,6,9,9,50.0,1
4,0,8,11,11,50.0,1
4,0,0,11,11,55.00000000000001,1
1,3,2,8,8,50.0,1
2,0,12,5,5,25.0,0
1,0,2,10,12,60.0,1
3,0,4,11,10,55.00000000000001,1
2,0,10,7,6,30.0,0
2,0,4,15,15,75.0,2
2,0,2,9,10,50.0,1
2,2,6,7,9,40.0,1
2,0,4,8,7,30.0,0
3,0,4,13,14,70.0,2
2,1,12,11,10,50.0,1
2,0,18,8,6,35.0,0
3,0,0,7,7,40.0,1
1,0,4,16,17,90.0,2
2,0,4,7,6,30.0,0
2,0,0,11,10,50.0,1
4,0,6,11,13,70.0,2
4,1,2,7,10,50.0,1
1,0,2,11,15,75.0,2
2,0,2,8,9,50.0,1
1,0,6,11,14,70.0,2
3,0,0,7,9,40.0,1
1,0,14,7,7,25.0,0
3,0,0,16,17,85.0,2
1,0,4,10,13,70.0,2
2,0,26,7,6,30.0,0
2,0,0,16,18,90.0,2
4,0,10,10,11,55.00000000000001,1
4,0,8,7,8,40.0,1
3,0,2,16,18,90.0,2
4,0,6,10,13,65.0,1
3,0,4,14,15,80.0,2
1,0,6,18,19,95.0,2
3,1,0,7,10,50.0,1
2,1,6,10,13,65.0,1
1,0,10,18,19,95.0,2
2,0,8,9,9,45.0,1
2,0,2,15,15,80.0,2
2,0,2,11,13,70.0,2
1,0,0,13,14,65.0,1
2,1,20,9,7,40.0,1
1,0,6,14,13,65.0,1
2,0,2,16,15,75.0,2
4,0,6,16,14,75.0,2
2,0,2,13,13,65.0,1
1,0,18,14,11,65.0,1
2,0,0,8,7,40.0,1
1,0,0,13,13,60.0,1
2,0,0,7,10,55.00000000000001,1
2,3,2,7,8,45.0,1
1,2,0,7,4,0.0,0
1,0,8,18,18,90.0,2
3,2,0,12,0,0.0,0
1,0,0,8,0,0.0,0
1,0,12,10,13,60.0,1
1,0,16,12,11,55.00000000000001,1
2,0,0,9,0,0.0,0
3,0,0,11,0,0.0,0
2,0,0,10,0,0.0,0
1,2,0,4,0,0.0,0
2,1,0,14,12,60.0,1
1,0,0,16,16,75.0,2
4,0,0,7,9,0.0,0
1,2,8,9,9,45.0,1
3,0,2,9,11,55.00000000000001,1
1,0,2,14,14,65.0,1
1,3,0,5,0,0.0,0
2,0,0,8,11,55.00000000000001,1
2,3,0,6,7,0.0,0
2,0,2,10,11,55.00000000000001,1
1,0,0,7,6,0.0,0
1,3,0,8,9,50.0,1
1,3,0,6,5,0.0,0
1,1,6,12,13,70.0,2
3,2,8,10,10,50.0,1
1,3,0,5,0,0.0,0
1,0,0,11,11,60.0,1
2,0,2,11,8,40.0,1
1,0,8,16,12,65.0,1
1,3,6,9,8,50.0,1
1,0,2,17,15,75.0,2
2,1,4,10,12,60.0,1
1,2,0,7,6,0.0,0
2,2,6,5,9,35.0,0
1,1,0,7,0,0.0,0
1,0,2,10,10,50.0,1
2,3,0,5,8,35.0,0
1,1,16,12,11,60.0,1
2,0,4,10,10,50.0,1
2,0,0,14,15,80.0,2
2,0,0,6,7,0.0,0
2,0,0,14,14,70.0,2
1,2,0,6,5,0.0,0
2,0,2,13,15,80.0,2
2,0,0,13,11,50.0,1
2,3,0,8,7,0.0,0
2,0,4,10,11,45.0,1
2,0,4,10,9,45.0,1
2,0,2,13,13,55.00000000000001,1
2,0,4,6,5,30.0,0
1,0,10,10,8,45.0,1
2,0,4,10,10,55.00000000000001,1
2,0,10,9,8,40.0,1
2,0,2,12,13,60.0,1
2,0,0,16,17,85.0,2
2,0,56,9,9,40.0,1
2,0,14,12,13,60.0,1
2,0,12,12,12,55.00000000000001,1
1,0,2,11,12,55.00000000000001,1
2,0,0,15,15,75.0,2
2,0,6,8,7,45.0,1
2,0,4,8,9,50.0,1
2,0,10,11,12,65.0,1
2,0,0,8,8,45.0,1
2,0,12,7,8,40.0,1
1,0,8,8,9,50.0,1
1,0,0,13,14,70.0,2
2,0,0,14,15,75.0,2
1,0,4,17,15,80.0,2
1,0,8,9,9,50.0,1
1,1,24,18,18,90.0,2
2,0,0,9,9,50.0,1
2,0,2,16,16,80.0,2
2,0,6,8,10,50.0,1
2,0,4,9,9,50.0,1
1,0,18,7,6,30.0,0
4,0,6,10,10,55.00000000000001,1
3,1,28,10,9,45.0,1
2,3,5,7,7,35.0,0
2,0,10,11,12,65.0,1
1,0,6,9,9,50.0,1
3,0,6,7,7,35.0,0
4,0,10,8,8,40.0,1
2,0,13,12,12,65.0,1
2,0,0,12,13,70.0,2
2,1,15,6,7,40.0,1
1,0,12,8,10,50.0,1
2,0,2,14,15,75.0,2
2,2,22,6,6,20.0,0
2,1,13,6,6,40.0,1
1,0,3,7,7,40.0,1
3,0,4,9,10,50.0,1
2,0,2,6,6,30.0,0
3,1,0,6,5,0.0,0
2,0,2,16,16,85.0,2
2,0,0,12,13,65.0,1
3,0,0,13,13,70.0,2
2,1,16,9,8,35.0,0
2,0,10,16,15,75.0,2
2,0,2,12,11,60.0,1
2,0,14,10,8,45.0,1
3,0,10,12,10,60.0,1
2,0,14,13,13,70.0,2
2,0,4,11,11,55.00000000000001,1
2,0,14,11,9,45.0,1
2,0,2,14,13,65.0,1
2,0,18,9,7,30.0,0
3,0,10,11,9,50.0,1
2,0,4,14,13,65.0,1
1,0,20,13,12,60.0,1
2,0,2,13,11,55.00000000000001,1
2,1,0,7,7,0.0,0
2,0,14,12,12,60.0,1
2,0,2,10,11,60.0,1
1,0,0,6,0,0.0,0
1,0,0,13,12,60.0,1
3,0,0,7,0,0.0,0
1,0,6,18,18,90.0,2
1,0,4,12,12,65.0,1
1,3,16,6,8,40.0,1
2,1,8,3,5,25.0,0
1,0,0,13,15,75.0,2
1,1,0,6,8,40.0,1
2,0,6,7,10,50.0,1
1,1,4,6,9,40.0,1
1,0,0,8,9,40.0,1
1,0,0,8,12,60.0,1
1,1,2,7,9,40.0,1
4,0,6,14,12,65.0,1
2,0,12,11,11,55.00000000000001,1
2,0,8,15,14,70.0,2
4,0,0,10,9,0.0,0
2,0,21,17,18,90.0,2
2,0,2,8,8,40.0,1
3,0,1,13,12,60.0,1
3,0,4,10,9,45.0,1
3,0,0,9,10,0.0,0
2,0,13,17,17,85.0,2
2,0,2,9,9,50.0,1
2,0,8,12,10,55.00000000000001,1
2,0,10,10,9,50.0,1
2,0,0,6,0,0.0,0
2,2,15,9,9,45.0,1
4,0,4,15,14,70.0,2
2,0,2,11,11,55.00000000000001,1
2,0,2,15,14,70.0,2
2,0,2,10,10,50.0,1
2,0,6,12,12,60.0,1
2,0,75,10,9,45.0,1
1,0,22,9,9,45.0,1
2,1,15,9,8,40.0,1
1,0,8,10,11,50.0,1
1,0,30,8,8,40.0,1
1,1,19,11,9,50.0,1
4,0,1,12,12,60.0,1
2,0,4,8,9,50.0,1
2,0,4,10,9,55.00000000000001,1
2,0,2,12,10,55.00000000000001,1
3,0,5,18,18,95.0,2
3,0,6,13,12,60.0,1
3,0,6,15,14,70.0,2
2,0,9,15,13,75.0,2
2,0,11,12,11,55.00000000000001,1
3,0,0,15,15,75.0,2
2,1,12,12,12,65.0,1
4,0,6,18,18,90.0,2
3,0,8,14,13,70.0,2
1,0,4,14,12,55.00000000000001,1
2,0,0,10,9,0.0,0
2,0,10,10,8,40.0,1
4,0,0,14,13,70.0,2
1,0,5,16,15,80.0,2
2,0,14,12,10,55.00000000000001,1
1,0,0,11,11,50.0,1
3,0,0,15,12,70.0,2
4,0,0,17,17,90.0,2
2,1,20,15,14,65.0,1
2,1,8,14,12,60.0,1
1,0,0,17,18,90.0,2
1,1,38,8,9,40.0,1
2,1,0,15,12,60.0,1
2,1,18,12,10,50.0,1
2,1,0,9,9,0.0,0
2,0,20,14,12,65.0,1
2,1,3,13,11,55.00000000000001,1
2,1,22,13,10,55.00000000000001,1
3,2,14,15,13,65.0,1
3,1,40,13,11,55.00000000000001,1
2,0,0,8,8,0.0,0
3,0,9,9,10,45.0,1
3,0,0,11,11,50.0,1
2,0,2,11,11,55.00000000000001,1
2,0,23,13,13,65.0,1
2,0,12,11,9,45.0,1
3,0,3,11,11,55.00000000000001,1
3,0,1,12,14,75.0,2
3,0,0,16,15,75.0,2
3,0,3,9,12,55.00000000000001,1
1,0,3,14,15,80.0,2
1,0,8,11,10,50.0,1
3,0,7,10,9,45.0,1
3,0,4,14,14,70.0,2
4,0,2,9,8,40.0,1
3,0,7,12,14,70.0,2
2,0,0,7,0,0.0,0
2,0,0,8,8,0.0,0
4,0,0,10,9,0.0,0
3,0,16,16,15,75.0,2
3,1,12,14,13,65.0,1
2,0,0,7,8,0.0,0
4,0,7,16,15,85.0,2
2,0,4,9,10,50.0,1
3,1,4,11,12,55.00000000000001,1
2,1,0,10,10,0.0,0
2,0,11,16,15,75.0,2
2,1,0,9,8,0.0,0
3,0,4,11,10,50.0,1
3,0,7,13,13,70.0,2
3,0,9,16,15,80.0,2
3,0,0,10,10,45.0,1
3,0,0,13,15,75.0,2
1,1,10,11,13,65.0,1
2,3,8,8,7,40.0,1
2,0,2,13,13,65.0,1
1,1,7,8,7,40.0,1
1,1,4,8,8,40.0,1
2,0,4,13,11,55.00000000000001,1
2,0,0,10,9,45.0,1
2,0,4,12,13,65.0,1
2,0,2,12,12,55.00000000000001,1
1,0,4,10,10,50.0,1
3,0,0,18,16,80.0,2
2,0,0,13,13,65.0,1
2,1,2,13,12,60.0,1
2,0,0,11,11,50.0,1
2,0,0,16,15,75.0,2
2,0,0,12,11,60.0,1
2,0,4,10,10,50.0,1
3,0,0,13,13,65.0,1
1,1,0,7,6,0.0,0
1,0,0,11,10,50.0,1
2,0,10,14,12,55.00000000000001,1
2,2,4,7,7,45.0,1
1,0,3,14,12,60.0,1
3,0,8,13,11,55.00000000000001,1
1,0,14,6,5,25.0,0
3,0,0,19,18,95.0,2
3,0,2,8,8,50.0,1
3,2,4,15,14,75.0,2
2,0,4,8,9,50.0,1
2,0,0,15,15,75.0,2
2,0,17,10,10,50.0,1
2,0,4,15,14,70.0,2
1,0,5,7,6,35.0,0
2,0,2,11,11,50.0,1
1,1,0,6,5,0.0,0
1,1,14,6,5,25.0,0
3,0,2,10,9,50.0,1
1,0,7,6,5,30.0,0
3,1,0,7,5,0.0,0
2,0,0,7,9,40.0,1
2,1,0,6,5,0.0,0
2,2,11,9,9,45.0,1
1,0,3,14,16,80.0,2
1,3,3,10,8,35.0,0
1,0,0,11,12,50.0,1
1,0,5,8,9,45.0,1
